id,date,temperature_celsius
197,2010-05-01,14.03
198,2010-06-02,-25.95
199,2010-07-03,49.94
200,2010-08-04,36.88
201,2010-09-05,47.52
202,2010-10-06,44.11
203,2010-11-07,37.9
204,2010-12-08,-16.7
205,2010-01-09,8.85
206,2010-02-10,-12.9
207,2010-03-11,2.08
208,2010-04-12,-25.31
209,2010-05-13,0.32
210,2010-06-14,48.82
211,2010-07-15,-8.78
212,2010-08-16,32.73
213,2010-09-17,6.4
214,2010-10-18,3.84
215,2010-11-19,46.59
216,2010-12-20,49.63
217,2010-01-21,14.46
218,2010-02-22,27.47
219,2010-03-23,-17.62
220,2010-04-24,-6.26
221,2010-05-25,47.5
222,2010-06-26,16.33
223,2010-07-27,13.38
224,2010-08-28,29.84
225,2010-09-01,-25.43
226,2010-10-02,16.73
227,2010-11-03,10.23
228,2010-12-04,38.22
229,2010-01-05,-17.41
230,2010-02-06,46.86
231,2010-03-07,-23.59
232,2010-04-08,-15.13
233,2010-05-09,17.6
234,2010-06-10,24.02
235,2010-07-11,-11.18
236,2010-08-12,-20.41
237,2010-09-13,41.22
238,2010-10-14,-10.3
239,2010-11-15,17.56
240,2010-12-16,19.55
241,2010-01-17,3.54
242,2010-02-18,16.69
243,2010-03-19,11.82
244,2010-04-20,44.78
245,2010-05-21,-13.66
246,2010-06-22,27.3
247,2010-07-23,-10.91
248,2010-08-24,1.66
249,2010-09-25,23.74
250,2010-10-26,-6.0
251,2010-11-27,-4.71
252,2010-12-28,30.15
253,2010-01-01,-24.2
254,2010-02-02,6.66
255,2010-03-03,49.88
256,2010-04-04,49.69
257,2010-05-05,-24.14
258,2010-06-06,-12.95
259,2010-07-07,-8.78
260,2010-08-08,44.66
261,2010-09-09,40.47
262,2010-10-10,40.34
263,2010-11-11,-0.44
264,2010-12-12,-17.38
265,2010-01-13,36.7
266,2010-02-14,26.28
267,2010-03-15,18.93
268,2010-04-16,48.98
269,2010-05-17,22.32
270,2010-06-18,-29.37
271,2010-07-19,35.37
272,2010-08-20,-6.05
273,2010-09-21,23.07
274,2010-10-22,45.11
275,2010-11-23,-19.26
276,2010-12-24,-20.77
277,2010-01-25,-21.44
278,2010-02-26,14.26
279,2010-03-27,-8.21
280,2010-04-28,18.39
281,2010-05-01,27.41
282,2010-06-02,-13.71
283,2010-07-03,20.74
284,2010-08-04,-8.88
285,2010-09-05,9.08
286,2010-10-06,42.43
287,2010-11-07,37.69
288,2010-12-08,-22.62
289,2010-01-09,3.89
290,2010-02-10,-7.87
291,2010-03-11,-29.72
292,2010-04-12,31.69
293,2010-05-13,20.97
294,2010-06-14,-9.04
295,2010-07-15,29.3
296,2010-08-16,14.13
297,2010-09-17,4.21
298,2010-10-18,-29.23
299,2010-11-19,-23.98
300,2010-12-20,40.65
301,2010-01-21,42.31
302,2010-02-22,13.65
303,2010-03-23,36.77
304,2010-04-24,16.6
305,2010-05-25,-18.15
306,2010-06-26,-19.8
307,2010-07-27,-5.34
308,2010-08-28,41.92
309,2010-09-01,33.69
310,2010-10-02,38.86
311,2010-11-03,41.91
312,2010-12-04,-13.19
313,2010-01-05,-10.04
314,2010-02-06,-21.78
315,2010-03-07,32.41
316,2010-04-08,40.73
317,2010-05-09,2.51
318,2010-06-10,19.65
319,2010-07-11,-17.64
320,2010-08-12,44.39
321,2010-09-13,39.17
322,2010-10-14,48.1
323,2010-11-15,34.86
324,2010-12-16,40.51
325,2010-01-17,-28.02
326,2010-02-18,28.93
327,2010-03-19,-3.43
328,2010-04-20,44.47
329,2010-05-21,34.18
330,2010-06-22,39.13
331,2010-07-23,34.86
332,2010-08-24,-8.66
333,2010-09-25,32.99
334,2010-10-26,-21.35
335,2010-11-27,39.77
336,2010-12-28,38.69
337,2010-01-01,-12.21
338,2010-02-02,35.33
339,2010-03-03,6.82
340,2010-04-04,-5.58
341,2010-05-05,33.63
342,2010-06-06,-11.79
343,2010-07-07,-28.11
344,2010-08-08,-14.55
345,2010-09-09,-3.74
346,2010-10-10,39.15
347,2010-11-11,47.35
348,2010-12-12,-7.67
349,2010-01-13,21.32
350,2010-02-14,1.97
351,2010-03-15,48.49
352,2010-04-16,12.9
353,2010-05-17,45.14
354,2010-06-18,-20.77
355,2010-07-19,47.63
356,2010-08-20,-15.71
357,2010-09-21,47.0
358,2010-10-22,-8.76
359,2010-11-23,-21.33
360,2010-12-24,4.77
361,2010-01-25,28.28
362,2010-02-26,-4.91
363,2010-03-27,18.5
364,2010-04-28,10.91
365,2011-05-01,0.82
366,2011-06-02,16.13
367,2011-07-03,-9.62
368,2011-08-04,26.7
369,2011-09-05,-29.86
370,2011-10-06,44.05
371,2011-11-07,13.08
372,2011-12-08,27.55
373,2011-01-09,29.36
374,2011-02-10,23.65
375,2011-03-11,-0.86
376,2011-04-12,-24.4
377,2011-05-13,23.14
378,2011-06-14,-3.58
379,2011-07-15,-4.89
380,2011-08-16,37.84
381,2011-09-17,27.58
382,2011-10-18,-5.97
383,2011-11-19,-5.26
384,2011-12-20,2.67
385,2011-01-21,2.19
386,2011-02-22,-6.35
387,2011-03-23,-19.82
388,2011-04-24,3.64
389,2011-05-25,45.23
390,2011-06-26,24.19
391,2011-07-27,42.22
392,2011-08-28,19.24
393,2011-09-01,-5.92
394,2011-10-02,13.83
395,2011-11-03,-29.97
396,2011-12-04,-7.05
397,2011-01-05,4.39
398,2011-02-06,16.4
399,2011-03-07,22.38
400,2011-04-08,7.2
401,2011-05-09,5.37
402,2011-06-10,-12.9
403,2011-07-11,7.85
404,2011-08-12,42.09
405,2011-09-13,33.68
406,2011-10-14,-16.42
407,2011-11-15,-23.22
408,2011-12-16,11.24
409,2011-01-17,20.64
410,2011-02-18,-3.18
411,2011-03-19,35.47
412,2011-04-20,30.09
413,2011-05-21,23.82
414,2011-06-22,-12.03
415,2011-07-23,-14.07
416,2011-08-24,-28.05
417,2011-09-25,-10.41
418,2011-10-26,8.01
419,2011-11-27,37.98
420,2011-12-28,-24.17
421,2011-01-01,3.16
422,2011-02-02,20.38
423,2011-03-03,-14.45
424,2011-04-04,25.71
425,2011-05-05,9.55
426,2011-06-06,-10.48
427,2011-07-07,22.48
428,2011-08-08,-29.56
429,2011-09-09,30.08
430,2011-10-10,31.6
431,2011-11-11,-21.47
432,2011-12-12,4.01
433,2011-01-13,-15.93
434,2011-02-14,46.64
435,2011-03-15,11.44
436,2011-04-16,-25.98
437,2011-05-17,-10.06
438,2011-06-18,37.87
439,2011-07-19,6.52
440,2011-08-20,34.11
441,2011-09-21,23.41
442,2011-10-22,49.03
443,2011-11-23,17.64
444,2011-12-24,46.0
445,2011-01-25,41.31
446,2011-02-26,19.01
447,2011-03-27,27.54
448,2011-04-28,10.38
449,2011-05-01,36.45
450,2011-06-02,13.83
451,2011-07-03,41.78
452,2011-08-04,29.49
453,2011-09-05,7.97
454,2011-10-06,-9.26
455,2011-11-07,-10.22
456,2011-12-08,21.01
457,2011-01-09,31.27
458,2011-02-10,11.7
459,2011-03-11,20.14
460,2011-04-12,-8.03
461,2011-05-13,-23.8
462,2011-06-14,-7.14
463,2011-07-15,-8.26
464,2011-08-16,-4.42
465,2011-09-17,13.21
466,2011-10-18,-18.93
467,2011-11-19,-11.5
468,2011-12-20,25.52
469,2011-01-21,26.51
470,2011-02-22,-24.86
471,2011-03-23,2.61
472,2011-04-24,13.41
473,2011-05-25,3.26
474,2011-06-26,-13.45
475,2011-07-27,3.61
476,2011-08-28,42.39
477,2011-09-01,16.73
478,2011-10-02,25.64
479,2011-11-03,38.54
480,2011-12-04,31.25
481,2011-01-05,0.43
482,2011-02-06,-29.53
483,2011-03-07,-1.86
484,2011-04-08,30.28
485,2011-05-09,38.28
486,2011-06-10,46.27
487,2011-07-11,3.52
488,2011-08-12,29.8
489,2011-09-13,13.69
490,2011-10-14,18.26
491,2011-11-15,-12.36
492,2011-12-16,-12.45
493,2011-01-17,4.87
494,2011-02-18,-27.68
495,2011-03-19,-3.11
496,2011-04-20,24.33
497,2011-05-21,2.35
498,2011-06-22,-16.8
499,2011-07-23,7.39
500,2011-08-24,-19.79
501,2011-09-25,19.78
502,2011-10-26,-27.84
503,2011-11-27,1.52
504,2011-12-28,15.15
505,2011-01-01,-27.83
506,2011-02-02,21.42
507,2011-03-03,-19.14
508,2011-04-04,6.94
509,2011-05-05,-25.98
510,2011-06-06,0.33
511,2011-07-07,-13.07
512,2011-08-08,-3.85
513,2011-09-09,30.9
514,2011-10-10,0.33
515,2011-11-11,30.16
516,2011-12-12,36.55
517,2011-01-13,-9.82
518,2011-02-14,-23.45
519,2011-03-15,-28.45
520,2011-04-16,13.15
521,2011-05-17,49.99
522,2011-06-18,-2.0
523,2011-07-19,22.01
524,2011-08-20,32.5
525,2011-09-21,22.14
526,2011-10-22,30.34
527,2011-11-23,45.97
528,2011-12-24,-14.05
529,2011-01-25,-28.37
530,2011-02-26,-17.81
531,2011-03-27,-19.9
532,2011-04-28,23.56
533,2011-05-01,15.12
534,2011-06-02,-12.56
535,2011-07-03,25.96
536,2011-08-04,31.35
537,2011-09-05,-16.58
538,2011-10-06,18.58
539,2011-11-07,29.83
540,2011-12-08,-20.84
541,2011-01-09,35.54
542,2011-02-10,47.18
543,2011-03-11,-21.35
544,2011-04-12,-27.95
545,2011-05-13,-5.04
546,2011-06-14,24.19
547,2011-07-15,46.65
548,2011-08-16,1.73
549,2011-09-17,27.2
550,2011-10-18,-23.92
551,2011-11-19,25.25
552,2011-12-20,20.18
553,2011-01-21,-21.85
554,2011-02-22,31.8
555,2011-03-23,38.02
556,2011-04-24,18.03
557,2011-05-25,-20.32
558,2011-06-26,48.71
559,2011-07-27,32.61
560,2011-08-28,-2.22
561,2011-09-01,4.27
562,2011-10-02,-0.35
563,2011-11-03,10.48
564,2011-12-04,-2.7
565,2011-01-05,37.97
566,2011-02-06,35.79
567,2011-03-07,-21.56
568,2011-04-08,46.86
569,2011-05-09,20.85
570,2011-06-10,36.3
571,2011-07-11,26.58
572,2011-08-12,4.84
573,2011-09-13,28.7
574,2011-10-14,47.24
575,2011-11-15,-8.39
576,2011-12-16,34.66
577,2011-01-17,13.05
578,2011-02-18,8.68
579,2011-03-19,4.85
580,2011-04-20,28.48
581,2011-05-21,-8.53
582,2011-06-22,38.14
583,2011-07-23,36.46
584,2011-08-24,-23.07
585,2011-09-25,40.53
586,2011-10-26,-10.49
587,2011-11-27,7.18
588,2011-12-28,18.83
589,2011-01-01,0.32
590,2011-02-02,-27.7
591,2011-03-03,38.08
592,2011-04-04,-15.45
593,2011-05-05,-13.03
594,2011-06-06,33.83
595,2011-07-07,-2.77
596,2011-08-08,40.43
597,2011-09-09,26.09
598,2011-10-10,-7.9
599,2011-11-11,-29.19
600,2011-12-12,45.85
601,2011-01-13,-23.15
602,2011-02-14,27.61
603,2011-03-15,9.09
604,2011-04-16,30.65
605,2011-05-17,25.25
606,2011-06-18,21.67
607,2011-07-19,9.27
608,2011-08-20,33.43
609,2011-09-21,-22.56
610,2011-10-22,-12.27
611,2011-11-23,25.34
612,2011-12-24,-5.5
613,2011-01-25,16.52
614,2011-02-26,7.86
615,2011-03-27,12.47
616,2011-04-28,4.04
617,2011-05-01,29.67
618,2011-06-02,-3.54
619,2011-07-03,26.23
620,2011-08-04,-8.33
621,2011-09-05,-9.89
622,2011-10-06,-20.35
623,2011-11-07,-14.59
624,2011-12-08,-20.44
625,2011-01-09,12.87
626,2011-02-10,30.98
627,2011-03-11,-15.19
628,2011-04-12,-12.69
629,2011-05-13,8.74
630,2011-06-14,27.97
631,2011-07-15,48.13
632,2011-08-16,11.97
633,2011-09-17,-7.36
634,2011-10-18,-21.96
635,2011-11-19,-14.47
636,2011-12-20,-11.8
637,2011-01-21,-15.64
638,2011-02-22,-28.87
639,2011-03-23,12.73
640,2011-04-24,-8.06
641,2011-05-25,47.94
642,2011-06-26,14.27
643,2011-07-27,25.79
644,2011-08-28,-19.9
645,2011-09-01,39.48
646,2011-10-02,9.27
647,2011-11-03,39.82
648,2011-12-04,15.93
649,2011-01-05,7.55
650,2011-02-06,5.24
651,2011-03-07,-15.25
652,2011-04-08,-25.89
653,2011-05-09,45.29
654,2011-06-10,8.22
655,2011-07-11,35.77
656,2011-08-12,2.06
657,2011-09-13,-24.07
658,2011-10-14,20.36
659,2011-11-15,-25.71
660,2011-12-16,-18.06
661,2011-01-17,15.03
662,2011-02-18,-5.69
663,2011-03-19,49.51
664,2011-04-20,-20.52
665,2011-05-21,31.16
666,2011-06-22,18.51
667,2011-07-23,33.26
668,2011-08-24,-11.95
669,2011-09-25,11.81
670,2011-10-26,6.04
671,2011-11-27,5.42
672,2011-12-28,38.81
673,2011-01-01,49.2
674,2011-02-02,-5.57
675,2011-03-03,19.68
676,2011-04-04,18.77
677,2011-05-05,29.21
678,2011-06-06,45.81
679,2011-07-07,-13.38
680,2011-08-08,-13.12
681,2011-09-09,22.83
682,2011-10-10,-17.44
683,2011-11-11,-16.09
684,2011-12-12,-23.99
685,2011-01-13,-29.79
686,2011-02-14,6.04
687,2011-03-15,17.5
688,2011-04-16,-6.7
689,2011-05-17,-11.48
690,2011-06-18,26.56
691,2011-07-19,26.24
692,2011-08-20,6.32
693,2011-09-21,24.99
694,2011-10-22,43.91
695,2011-11-23,33.03
696,2011-12-24,20.0
697,2011-01-25,22.89
698,2011-02-26,44.69
699,2011-03-27,4.01
700,2011-04-28,13.56
701,2011-05-01,21.81
702,2011-06-02,42.67
703,2011-07-03,36.13
704,2011-08-04,-24.29
705,2011-09-05,-16.73
706,2011-10-06,-5.39
707,2011-11-07,29.92
708,2011-12-08,15.54
709,2011-01-09,-6.91
710,2011-02-10,-20.05
711,2011-03-11,25.09
712,2011-04-12,25.98
713,2011-05-13,45.41
714,2011-06-14,10.04
715,2011-07-15,9.5
716,2011-08-16,-23.56
717,2011-09-17,-26.81
718,2011-10-18,4.56
719,2011-11-19,-4.21
720,2011-12-20,-9.97
721,2011-01-21,-22.69
722,2011-02-22,46.95
723,2011-03-23,36.88
724,2011-04-24,16.02
725,2011-05-25,46.06
726,2011-06-26,49.97
727,2011-07-27,23.78
728,2011-08-28,-8.44
729,2011-09-01,-26.78
730,2012-10-02,30.5
731,2012-11-03,7.64
732,2012-12-04,22.12
733,2012-01-05,43.29
734,2012-02-06,-15.48
735,2012-03-07,16.83
736,2012-04-08,20.78
737,2012-05-09,9.34
738,2012-06-10,-22.7
739,2012-07-11,-2.16
740,2012-08-12,-3.34
741,2012-09-13,23.61
742,2012-10-14,38.62
743,2012-11-15,-3.62
744,2012-12-16,25.49
745,2012-01-17,-6.94
746,2012-02-18,45.62
747,2012-03-19,35.09
748,2012-04-20,14.01
749,2012-05-21,6.39
750,2012-06-22,-4.84
751,2012-07-23,-4.14
752,2012-08-24,47.61
753,2012-09-25,2.33
754,2012-10-26,11.17
755,2012-11-27,49.05
756,2012-12-28,22.61
757,2012-01-01,13.41
758,2012-02-02,3.06
759,2012-03-03,-14.99
760,2012-04-04,-1.06
761,2012-05-05,30.52
762,2012-06-06,20.03
763,2012-07-07,30.8
764,2012-08-08,-13.72
765,2012-09-09,13.94
766,2012-10-10,44.21
767,2012-11-11,5.05
768,2012-12-12,25.86
769,2012-01-13,-20.29
770,2012-02-14,47.85
771,2012-03-15,18.71
772,2012-04-16,-10.86
773,2012-05-17,-17.33
774,2012-06-18,14.07
775,2012-07-19,14.18
776,2012-08-20,-22.54
777,2012-09-21,49.38
778,2012-10-22,43.03
779,2012-11-23,6.92
780,2012-12-24,-20.6
781,2012-01-25,36.57
782,2012-02-26,9.87
783,2012-03-27,27.33
784,2012-04-28,10.71
785,2012-05-01,-8.13
786,2012-06-02,36.78
787,2012-07-03,48.42
788,2012-08-04,-10.5
789,2012-09-05,14.1
790,2012-10-06,0.69
791,2012-11-07,43.75
792,2012-12-08,10.66
793,2012-01-09,40.35
794,2012-02-10,39.12
795,2012-03-11,-7.9
796,2012-04-12,33.2
797,2012-05-13,3.2
798,2012-06-14,44.74
799,2012-07-15,10.62
800,2012-08-16,35.64
801,2012-09-17,-7.37
802,2012-10-18,-6.12
803,2012-11-19,16.96
804,2012-12-20,49.91
805,2012-01-21,9.17
806,2012-02-22,-18.11
807,2012-03-23,13.09
808,2012-04-24,-2.39
809,2012-05-25,14.15
810,2012-06-26,13.47
811,2012-07-27,6.43
812,2012-08-28,-4.26
813,2012-09-01,-14.91
814,2012-10-02,25.8
815,2012-11-03,15.74
816,2012-12-04,-11.32
817,2012-01-05,32.04
818,2012-02-06,-26.51
819,2012-03-07,29.58
820,2012-04-08,26.42
821,2012-05-09,34.91
822,2012-06-10,0.89
823,2012-07-11,23.1
824,2012-08-12,35.66
825,2012-09-13,48.47
826,2012-10-14,9.63
827,2012-11-15,-27.04
828,2012-12-16,10.18
829,2012-01-17,17.21
830,2012-02-18,39.58
831,2012-03-19,39.94
832,2012-04-20,5.22
833,2012-05-21,12.08
834,2012-06-22,6.55
835,2012-07-23,27.8
836,2012-08-24,2.8
837,2012-09-25,22.38
838,2012-10-26,-17.65
839,2012-11-27,7.56
840,2012-12-28,47.54
841,2012-01-01,-2.92
842,2012-02-02,25.42
843,2012-03-03,21.99
844,2012-04-04,38.14
845,2012-05-05,38.19
846,2012-06-06,38.75
847,2012-07-07,0.4
848,2012-08-08,-4.67
849,2012-09-09,27.5
850,2012-10-10,30.75
851,2012-11-11,39.79
852,2012-12-12,-27.13
853,2012-01-13,-24.53
854,2012-02-14,20.49
855,2012-03-15,43.67
856,2012-04-16,49.79
857,2012-05-17,29.74
858,2012-06-18,4.72
859,2012-07-19,-22.12
860,2012-08-20,20.7
861,2012-09-21,39.81
862,2012-10-22,5.49
863,2012-11-23,25.52
864,2012-12-24,42.27
865,2012-01-25,-26.32
866,2012-02-26,33.69
867,2012-03-27,-6.53
868,2012-04-28,-0.01
869,2012-05-01,-18.35
870,2012-06-02,12.49
871,2012-07-03,15.27
872,2012-08-04,33.4
873,2012-09-05,-16.4
874,2012-10-06,-23.68
875,2012-11-07,39.67
876,2012-12-08,19.58
877,2012-01-09,-10.73
878,2012-02-10,43.03
879,2012-03-11,-18.55
880,2012-04-12,6.89
881,2012-05-13,-9.68
882,2012-06-14,-9.57
883,2012-07-15,-29.25
884,2012-08-16,34.37
885,2012-09-17,42.1
886,2012-10-18,24.21
887,2012-11-19,-17.36
888,2012-12-20,5.34
889,2012-01-21,-2.35
890,2012-02-22,17.01
891,2012-03-23,21.12
892,2012-04-24,3.94
893,2012-05-25,-9.99
894,2012-06-26,37.62
895,2012-07-27,-14.06
896,2012-08-28,0.78
897,2012-09-01,8.66
898,2012-10-02,-11.02
899,2012-11-03,15.75
900,2012-12-04,15.98
901,2012-01-05,49.42
902,2012-02-06,-6.38
903,2012-03-07,48.24
904,2012-04-08,22.66
905,2012-05-09,-8.04
906,2012-06-10,15.27
907,2012-07-11,24.86
908,2012-08-12,29.57
909,2012-09-13,-26.08
910,2012-10-14,18.51
911,2012-11-15,9.74
912,2012-12-16,42.33
913,2012-01-17,-7.1
914,2012-02-18,33.91
915,2012-03-19,18.57
916,2012-04-20,-1.81
917,2012-05-21,20.93
918,2012-06-22,19.67
919,2012-07-23,24.22
920,2012-08-24,27.67
921,2012-09-25,22.73
922,2012-10-26,37.07
923,2012-11-27,20.26
924,2012-12-28,42.27
925,2012-01-01,21.71
926,2012-02-02,-5.29
927,2012-03-03,5.27
928,2012-04-04,16.37
929,2012-05-05,28.59
930,2012-06-06,-22.79
931,2012-07-07,-6.39
932,2012-08-08,29.8
933,2012-09-09,-15.95
934,2012-10-10,-19.43
935,2012-11-11,13.15
936,2012-12-12,47.72
937,2012-01-13,12.47
938,2012-02-14,43.08
939,2012-03-15,36.44
940,2012-04-16,-9.44
941,2012-05-17,35.98
942,2012-06-18,8.55
943,2012-07-19,34.52
944,2012-08-20,29.72
945,2012-09-21,-2.9
946,2012-10-22,-20.79
947,2012-11-23,47.03
948,2012-12-24,-18.74
949,2012-01-25,47.32
950,2012-02-26,38.81
951,2012-03-27,27.94
952,2012-04-28,48.4
953,2012-05-01,47.38
954,2012-06-02,34.37
955,2012-07-03,-0.74
956,2012-08-04,33.25
957,2012-09-05,-28.89
958,2012-10-06,12.93
959,2012-11-07,6.38
960,2012-12-08,23.83
961,2012-01-09,23.79
962,2012-02-10,16.76
963,2012-03-11,35.79
964,2012-04-12,45.22
965,2012-05-13,-21.33
966,2012-06-14,-11.29
967,2012-07-15,-28.0
968,2012-08-16,40.74
969,2012-09-17,14.91
970,2012-10-18,43.22
971,2012-11-19,-12.29
972,2012-12-20,-24.94
973,2012-01-21,35.91
974,2012-02-22,42.75
975,2012-03-23,-5.82
976,2012-04-24,2.66
977,2012-05-25,-18.82
978,2012-06-26,45.7
979,2012-07-27,-5.65
980,2012-08-28,9.41
981,2012-09-01,-22.22
982,2012-10-02,40.98
983,2012-11-03,-19.15
984,2012-12-04,6.29
985,2012-01-05,23.64
986,2012-02-06,29.45
987,2012-03-07,45.68
988,2012-04-08,3.53
989,2012-05-09,29.38
990,2012-06-10,-17.64
991,2012-07-11,3.19
992,2012-08-12,-22.08
993,2012-09-13,9.15
994,2012-10-14,2.65
995,2012-11-15,46.12
996,2012-12-16,-27.38
997,2012-01-17,-0.36
998,2012-02-18,5.47
999,2012-03-19,46.04
1000,2012-04-20,38.44
1001,2012-05-21,-22.05
1002,2012-06-22,24.85
1003,2012-07-23,13.56
1004,2012-08-24,48.23
1005,2012-09-25,-1.31
1006,2012-10-26,1.85
1007,2012-11-27,-14.82
1008,2012-12-28,-20.23
1009,2012-01-01,37.84
1010,2012-02-02,6.38
1011,2012-03-03,23.02
1012,2012-04-04,21.34
1013,2012-05-05,17.77
1014,2012-06-06,-28.29
1015,2012-07-07,32.94
1016,2012-08-08,-10.51
1017,2012-09-09,-19.93
1018,2012-10-10,15.17
1019,2012-11-11,-24.51
1020,2012-12-12,31.21
1021,2012-01-13,-13.43
1022,2012-02-14,-12.72
1023,2012-03-15,39.58
1024,2012-04-16,-3.72
1025,2012-05-17,-18.2
1026,2012-06-18,42.04
1027,2012-07-19,-29.77
1028,2012-08-20,38.67
1029,2012-09-21,-18.42
1030,2012-10-22,-19.6
1031,2012-11-23,-9.95
1032,2012-12-24,-16.04
1033,2012-01-25,22.88
1034,2012-02-26,-27.94
1035,2012-03-27,-28.81
1036,2012-04-28,33.2
1037,2012-05-01,-10.97
1038,2012-06-02,-4.1
1039,2012-07-03,-16.06
1040,2012-08-04,-25.81
1041,2012-09-05,29.34
1042,2012-10-06,12.09
